Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Positive Cases per 1M in 1st Month of Infection
5.274,0.983,1.294,0.838,0.345,105.11370999559387
7.228,1.3719999999999999,1.548,1.036,0.557,112.93054771315641
7.278,1.365,1.505,1.0390000000000001,0.584,110.86474501108647
7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,698.1034453589506
7.278,1.365,1.505,1.0390000000000001,0.584,562.9435487592172
7.278,1.365,1.505,1.0390000000000001,0.584,0.2732636146764422
5.653,0.677,0.8859999999999999,0.535,0.313,6.339888672016674
6.321000000000001,1.149,1.442,0.91,0.516,595.3221993010616
5.742999999999999,0.855,1.475,0.777,0.514,16.324470281585757
5.697,0.96,1.274,0.8540000000000001,0.455,70.16202968755104
5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.027747814762470104
6.182,1.206,1.4380000000000002,0.884,0.483,89.29002447781897
5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,806.8508097551206
7.278,1.365,1.505,1.0390000000000001,0.584,157.89407202495988
6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,244.6972551182509
5.191,1.0290000000000001,1.125,0.893,0.521,2.9850746268656714
7.278,1.365,1.505,1.0390000000000001,0.584,332.53633896225244
7.228,1.3719999999999999,1.548,1.036,0.557,0.9908838684106224
6.5920000000000005,1.324,1.472,1.045,0.436,429.7315752587108
6.07,1.162,1.232,0.825,0.462,66.71982908156231
5.648,1.183,1.452,0.726,0.33399999999999996,0.013710626371611061
3.3339999999999996,0.359,0.711,0.614,0.555,10.057862008984284
6.5920000000000005,1.324,1.472,1.045,0.436,611.2469437652811
7.278,1.365,1.505,1.0390000000000001,0.584,253.34276425860685
6.375,1.403,1.357,0.795,0.439,50.191824691395425
4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,11.659043901945722
5.603,1.004,1.383,0.8540000000000001,0.282,217.50460658341302
5.191,1.0290000000000001,1.125,0.893,0.521,6.340579710144928
5.191,1.0290000000000001,1.125,0.893,0.521,7.454961680103514
5.191,1.0290000000000001,1.125,0.893,0.521,13.778877887788779
5.191,1.0290000000000001,1.125,0.893,0.521,3.5502958579881656
5.191,1.0290000000000001,1.125,0.893,0.521,6.294209327418775
4.374,0.268,0.841,0.242,0.309,15.870563777460394
6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,14.644206932636477
7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,1580.6360290648297
